epoch 0 | pearsonr 0.70 | spearmanr 0.71 | loss 51294.86
epoch 1 | pearsonr 0.71 | spearmanr 0.72 | loss 30114.35
epoch 2 | pearsonr 0.71 | spearmanr 0.73 | loss 29445.62
epoch 3 | pearsonr 0.72 | spearmanr 0.73 | loss 29077.77
epoch 4 | pearsonr 0.72 | spearmanr 0.73 | loss 28832.24
epoch 5 | pearsonr 0.72 | spearmanr 0.73 | loss 28656.94
epoch 6 | pearsonr 0.72 | spearmanr 0.74 | loss 28515.95
epoch 7 | pearsonr 0.72 | spearmanr 0.74 | loss 28396.49
epoch 8 | pearsonr 0.72 | spearmanr 0.74 | loss 28290.67
epoch 9 | pearsonr 0.72 | spearmanr 0.74 | loss 28165.24
epoch 10 | pearsonr 0.72 | spearmanr 0.74 | loss 28014.17
epoch 11 | pearsonr 0.73 | spearmanr 0.74 | loss 27909.75
epoch 12 | pearsonr 0.73 | spearmanr 0.74 | loss 27832.52
epoch 13 | pearsonr 0.73 | spearmanr 0.74 | loss 27768.77
epoch 14 | pearsonr 0.73 | spearmanr 0.74 | loss 27716.29
epoch 15 | pearsonr 0.73 | spearmanr 0.74 | loss 27670.83
epoch 16 | pearsonr 0.73 | spearmanr 0.74 | loss 27629.79
epoch 17 | pearsonr 0.73 | spearmanr 0.74 | loss 27592.40
epoch 18 | pearsonr 0.73 | spearmanr 0.74 | loss 27558.18
epoch 19 | pearsonr 0.73 | spearmanr 0.74 | loss 27526.76
epoch 20 | pearsonr 0.73 | spearmanr 0.74 | loss 27491.39
epoch 21 | pearsonr 0.73 | spearmanr 0.74 | loss 27442.00
epoch 22 | pearsonr 0.73 | spearmanr 0.74 | loss 27373.44
epoch 23 | pearsonr 0.73 | spearmanr 0.75 | loss 27312.10
epoch 24 | pearsonr 0.73 | spearmanr 0.75 | loss 27260.07
epoch 25 | pearsonr 0.73 | spearmanr 0.75 | loss 27207.81
epoch 26 | pearsonr 0.73 | spearmanr 0.75 | loss 27166.29
epoch 27 | pearsonr 0.73 | spearmanr 0.75 | loss 27131.59
epoch 28 | pearsonr 0.73 | spearmanr 0.75 | loss 27101.60
